;PF@0PO@S;PN UTR/NEU PLU DEF OBJ;;
;PF@0PS@S;PN UTR/NEU PLU DEF SUB;;
;PF@MS0@S;PN MAS SIN DEF SUB/OBJ;;
;PF@NS0@S;PN NEU SIN DEF SUB/OBJ;;
;PF@UPO@S;PN UTR PLU DEF OBJ;;
;PF@UPS@S;PN UTR PLU DEF SUB;;
;PF@US0@S;PN UTR SIN DEF SUB/OBJ;;
;PF@USO@S;PN UTR SIN DEF OBJ;;
;PF@USS@S;PN UTR SIN DEF SUB;;
;PE@000@S;HS DEF;;
;PH@000@S;HP - - -;;
;PH@0P0@S;HP UTR/NEU PLU IND;;
;PH@NS0@C;HP NEU SIN IND SMS;;
;PH@NS0@S;HP NEU SIN IND;;
;PH@US0@S;HP UTR SIN IND;;
;PI@0P0@S;PN UTR/NEU PLU IND SUB/OBJ;;
;PI@NS0@S;PN NEU SIN IND SUB/OBJ;;
;PI@US0@S;PN UTR SIN IND SUB/OBJ;;
;PI@USS@S;PN UTR SIN IND SUB;;
;PS@000@A;PS AN;;
;PS@000@S;PS UTR/NEU SIN/PLU DEF;;
;PS@0P0@S;PS UTR/NEU PLU DEF;;
;PS@NS0@S;PS NEU SIN DEF;;
;PS@US0@S;PS UTR SIN DEF;;
;MO0000C;RO SMS;;
;QC;PL SMS;;
;QS;PL;;
;RG0A;AB AN;;
;RG0C;AB SMS;;
;RG0S;AB;;
;RGCS;AB KOM;;
;RGPS;AB POS;;
;RGSS;AB SUV;;
;RH0S;HA;;
;SPA;PP AN;;
;SPS;PP;;
;V@000A;VB AN;;
;V@000C;VB SMS;;
;V@IIAS;VB PRT AKT;;
;V@IISS;VB PRT SFO;;
;V@IPAS;VB PRS AKT;;
;V@IPSS;VB PRS SFO;;
;V@IUAS;VB SUP AKT;;
;V@IUSS;VB SUP SFO;;
;V@M0AS;VB IMP AKT;;
;V@M0SS;VB IMP SFO;;
;V@N0AS;VB INF AKT;;
;V@N0SS;VB INF SFO;;
;V@SIAS;VB KON PRT AKT;;
;V@SISS;VB KON PRT SFO;;
;V@SPAS;VB KON PRS AKT;;
;XF;UO;;
;N@@@A;N/A;;
